3060	106	3	19.77
114	178	5	16.95
114	230	4	15.62
102	2567	4	24.14
98	112	754	4133.52
98	286	7	3.9
98	2920	4	15.88
103	364	4	8.21
98	3024	5	23.83
965	136	7	67.86
101	2338	6	34.94
1240	14	3	3.9
2175	14	3	6.4
604	111	6	34.9
106	1101	4	19.6
372	1448	3	36.75
101	2202	3	11.59
1893	14	4	10.12
138	841	3	22.61
12	3121	4	15.99
98	5782	3	17.47
105	290	3	4.08
817	12	4	5.15
12	253	66	376.26
5475	8002	3	67.64
592	109	5	25.81
98	1197	14	81.55
223	116	3	10.57
102	1650	7	44.52
105	477	4	10.85
1243	105	3	11.94
103	231	11	33.68
126	326	5	31.17
423	2	4	9.94
114	432	3	13.95
432	3809	3	44.42
155	127	6	24.25
2	144	11	13.94
3898	173	3	36.92
117	244	3	11.57
3169	2	5	38.16
2106	12	3	6.76
98	1048	14	69.72
511	1251	3	37.68
240	376	3	25.41
816	4543	4	73.87
2068	104	7	51.12
350	105	5	12.69
110	158	6	12.27
1715	14	3	5.76
4326	992	3	51.8
134	1205	8	85.64
5533	101	3	17.47
102	6195	3	25.2
98	3609	5	29.12
138	526	3	19.64
148	12	22	10.64
106	269	3	5.19
2344	109	4	30.41
1305	12	4	8.35
144	1676	3	27.57
5777	101	3	21.91
172	322	3	20.8
303	120	3	13.53
1184	101	4	12.4
949	120	6	50.12
2977	101	4	21.69
98	731	22	128.17
101	1329	10	59.18
98	4509	4	23.3
98	4585	3	13.09
104	210	4	4.05
1926	12	8	40.64
2	855	3	9.96
285	12	29	92.53
1270	12	3	4.22
168	101	9	5.58
107	570	6	27.4
106	1131	3	13.24
171	382	4	31.36
8	227	4	14.67
98	4480	4	23.3
4060	120	3	29.75
1067	101	7	29.68
108	749	3	11.25
7992	101	3	21.91
106	424	4	12.24
2663	14	3	8.06
111	604	3	13.05
1911	1052	9	174.72
109	295	22	154.73
101	508	4	6.37
98	8126	3	17.47
98	1909	9	52.42
13	894	10	69.43
265	142	7	49.92
124	110	7	8.52
104	1155	12	88.98
2013	12	4	11.59
98	1723	10	58.25
12	918	4	5.88
1950	3363	3	52.37
5699	120	3	36.47
2932	1283	4	70.2
131	288	8	57.71
107	141	26	85.19
300	101	6	8.68
3640	105	5	43.68
781	263	3	30.71
1126	104	14	113.93
151	118	6	20.68
101	1600	6	28.94
101	1481	4	14.36
3216	109	3	22.81
1388	240	6	78.21
144	155	7	35.55
107	764	5	23.85
435	2032	3	39.7
297	317	3	26.06
2742	101	3	12.56
277	107	8	29.23
1229	14	5	11.4
120	14	95	131.78
1749	146	3	28.82
98	1298	12	62.96
107	5441	3	23.79
1196	14	9	33.81
101	760	19	121.49
101	656	11	46.81
98	6086	3	17.47
98	6138	3	17.47
2472	12	3	7.52
104	3643	5	43.28
5438	12	4	23.4
3356	961	4	67.18
106	882	3	11.75
2724	12	3	8.43
122	132	4	8.62
12	107	112	6.03
